EVENT_TYPE,TIMESTAMP,REQUEST_ID,ORGANIZATION_ID,USER_ID,RUN_TIME,CPU_TIME,URI,SESSION_KEY,LOGIN_KEY,REQUEST_STATUS,DB_TOTAL_TIME,API_TYPE,API_VERSION,CLIENT_NAME,METHOD_NAME,ENTITY_NAME,ROWS_PROCESSED,REQUEST_SIZE,RESPONSE_SIZE,DB_BLOCKS,DB_CPU_TIME,TIMESTAMP_DERIVED,USER_ID_DERIVED,CLIENT_IP,URI_ID_DERIVED
API,20210524203417.890,SLB:c311491f6ca06e9a19dcfec214cd0d6e,00D300000000FHi,0053400000BwfTT,16,8,Api,dRep3WxWDLqmDslM,bAr7kRG+nderw/Mk,"",9617874,P,12.0,"","","","",714,676,3,10,2021-05-24T20:34:17.890Z,0053400000BwfTTAAZ,107.152.24.187,""
API,20210524204902.066,SLB:3bc871051c539a98b893a91f1cdb6ec5,00D300000000FHi,0053n000007GRwW,11,7,Api,Df5sdFMdwf7ixvZG,sHx+O+waMc58AnWA,"",5132126,P,12.0,"","","","",714,676,"","",2021-05-24T20:49:02.066Z,0053n000007GRwWAAW,107.152.24.187,""
API,20210524204902.411,SLB:5108546302fd7d4330a390c37d328320,00D300000000FHi,0053n000007GRwW,17,8,Api,Df5sdFMdwf7ixvZG,sHx+O+waMc58AnWA,"",10055044,P,12.0,"","","","",714,676,6,0,2021-05-24T20:49:02.411Z,0053n000007GRwWAAW,107.152.24.153,""
API,20210524211353.730,SLB:8aef5b9ee38aa782ae206fcaf36b8ec0,00D300000000FHi,0053400000BwfTT,28,20,Api,dRep3WxWDLqmDslM,bAr7kRG+nderw/Mk,"",8209129,P,12.0,"","","","",714,676,3,0,2021-05-24T21:13:53.730Z,0053400000BwfTTAAZ,107.152.25.169,""
API,20210524211353.969,SLB:dbd9a1acae4a4c421711bd654517a892,00D300000000FHi,0053400000BwfTT,25,17,Api,dRep3WxWDLqmDslM,bAr7kRG+nderw/Mk,"",8810010,P,12.0,"","","","",714,676,3,0,2021-05-24T21:13:53.969Z,0053400000BwfTTAAZ,107.152.25.184,""
API,20210517092033.962,SLB:8a2f88ddbac56f8f434cac2b7c0976a2,00D300000000FHi,005340000090FFM,23,11,Api,znWpfRhLqNuy7zef,0uCBoV5M9/OXNi4o,"",13118059,P,12.0,boxnet/files/,get_user_info,"","",714,1070,245,0,2021-05-17T09:20:33.962Z,005340000090FFMAA2,107.152.25.152,""
API,20210517092034.351,SLB:7e8834f1828bb604fbe97adc0e739884,00D300000000FHi,005340000090FFM,35,17,Api,znWpfRhLqNuy7zef,0uCBoV5M9/OXNi4o,"",19460801,P,12.0,boxnet/files/,retrieve,Profile,1,938,531,41,10,2021-05-17T09:20:34.351Z,005340000090FFMAA2,107.152.25.169,""
API,20210517102251.796,SLB:391f080093f2183c6475b9c2f6c98257,00D300000000FHi,005340000090FFM,30,13,Api,znWpfRhLqNuy7zef,0uCBoV5M9/OXNi4o,"",17317386,P,12.0,boxnet/files/,get_user_info,"","",714,1070,242,10,2021-05-17T10:22:51.796Z,005340000090FFMAA2,107.152.24.187,""
API,20210517102252.066,SLB:fee36db4b3ab523dfa59096fc4df3701,00D300000000FHi,005340000090FFM,20,13,Api,znWpfRhLqNuy7zef,0uCBoV5M9/OXNi4o,"",8790013,P,12.0,boxnet/files/,retrieve,Profile,1,938,531,20,0,2021-05-17T10:22:52.066Z,005340000090FFMAA2,107.152.25.169,""
API,20210517132321.501,SLB:0a3323e1576e8939e8b90e71c38d9f50,00D300000000FHi,005340000090FFM,26,12,Api,uXW4DbmcVFmLloU+,0uCBoV5M9/OXNi4o,"",16729340,P,12.0,boxnet/files/,get_user_info,"","",714,1070,186,0,2021-05-17T13:23:21.501Z,005340000090FFMAA2,107.152.24.150,""
API,20210517132321.852,SLB:ce818806abbffe443f4af15278987bf0,00D300000000FHi,005340000090FFM,28,17,Api,uXW4DbmcVFmLloU+,0uCBoV5M9/OXNi4o,"",8639030,P,12.0,boxnet/files/,retrieve,Profile,1,938,531,20,0,2021-05-17T13:23:21.852Z,005340000090FFMAA2,107.152.24.147,""
API,20210517132423.901,SLB:8b31cfec414bc4944e4013f4d8f24c0b,00D300000000FHi,0053400000BwfTT,17,9,Api,L8ojOAkeUFNADamW,37QwgFB8f1NWJBaA,"",8609211,P,12.0,"","","","",714,676,6,0,2021-05-17T13:24:23.901Z,0053400000BwfTTAAZ,107.152.24.187,""
API,20210517132424.226,SLB:7620ebd52f8bb6ad3a9058a40a2dd1ea,00D300000000FHi,0053400000BwfTT,50,24,Api,L8ojOAkeUFNADamW,37QwgFB8f1NWJBaA,"",10647649,P,12.0,"","","","",714,676,6,10,2021-05-17T13:24:24.226Z,0053400000BwfTTAAZ,107.152.25.153,""
API,20210518082142.289,SLB:c6e8f82ca94db3ccefdca6bb3b82b25f,00D300000000FHi,0052T00000D9Hka,35,15,Api,u4EQwzoIv760yuUg,sMD9g8xzCBZKEChM,"",18358448,P,12.0,boxnet/files/,get_user_info,"","",714,1071,290,10,2021-05-18T08:21:42.289Z,0052T00000D9HkaQAF,107.152.24.187,""
API,20210518082142.686,SLB:78a6632bdca51a89915b2aa36d0a0741,00D300000000FHi,0052T00000D9Hka,30,14,Api,u4EQwzoIv760yuUg,sMD9g8xzCBZKEChM,"",17135906,P,12.0,boxnet/files/,retrieve,Profile,1,938,531,41,10,2021-05-18T08:21:42.686Z,0052T00000D9HkaQAF,107.152.25.153,""
API,20210518144057.987,SLB:0889026a6d604ab4388c53b6eae4efb3,00D300000000FHi,0053n000007GRwW,36,14,Api,np4P6r5dWQdXSQ8g,qcW3XbGl1qRTI5K1,"",9928231,P,12.0,"","","","",714,676,6,0,2021-05-18T14:40:57.987Z,0053n000007GRwWAAW,107.152.24.155,""
API,20210518144058.315,SLB:d76f1d7446afc2151b16875bc7f2dc8b,00D300000000FHi,0053n000007GRwW,20,13,Api,np4P6r5dWQdXSQ8g,qcW3XbGl1qRTI5K1,"",9654329,P,12.0,"","","","",714,676,6,0,2021-05-18T14:40:58.315Z,0053n000007GRwWAAW,107.152.24.183,""
API,20210519124922.700,SLB:304d3db417ae24971518bff8212d9ca2,00D300000000FHi,0052T00000D9Hka,27,13,Api,kIE8S8BsfjGwehrt,4VpxWARCdte3H4kU,"",17418323,P,12.0,boxnet/files/,get_user_info,"","",714,1071,231,10,2021-05-19T12:49:22.700Z,0052T00000D9HkaQAF,107.152.24.182,""
API,20210519124922.954,SLB:b94df00dd3b0db1fbfd5e1609ca832ae,00D300000000FHi,0052T00000D9Hka,25,14,Api,kIE8S8BsfjGwehrt,4VpxWARCdte3H4kU,"",11148976,P,12.0,boxnet/files/,retrieve,Profile,1,938,531,41,10,2021-05-19T12:49:22.954Z,0052T00000D9HkaQAF,107.152.25.186,""
